Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,93,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Load_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,93,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Load_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,93,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.Load_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,85,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.MoveToIgnore_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,85,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.MoveToIgnore_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,85,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.MoveToIgnore_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,77,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.MoveToToCopy_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,77,12,T:System.Windows.RoutedEventHandler,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.MoveToToCopy_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,77,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,((System.Windows.Controls.Button)(target)).Click += new System.Windows.RoutedEventHandler(this.MoveToToCopy_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,59,12,T:System.Windows.Application,,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,59,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,56,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/DatabaseCopier;component/mainwindow.xaml"", System.UriKind.Relative);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,56,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/DatabaseCopier;component/mainwindow.xaml"", System.UriKind.Relative);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,MainWindow.xaml.cs,54,8,T:System.Windows.RoutedEventArgs,,,,,"private void Load_Click(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,MainWindow.xaml.cs,49,8,T:System.Windows.RoutedEventArgs,,,,,"private void Stop_Click(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,MainWindow.xaml.cs,44,8,T:System.Windows.RoutedEventArgs,,,,,"private void Start_Click(object sender, RoutedEventArgs e)"
